CASE_NUM,Pe,tau,RAE
163,0.4000062217108296,60.50207337129627,0.3222999728024133
164,0.384838835742,60.22195674430415,0.4609283419114701
165,0.37269587051686986,60.855207885066946,0.7419654302305436
166,0.3024260403471776,43.04174805223681,0.10791617827759581
167,0.3096015832177503,42.99636893089201,0.11213237576501539
168,0.3228586674179216,42.7314173587842,0.11445599929967963
169,0.33491757271060474,42.495129769870616,0.11734211121772921
170,0.3473995283378494,42.48731129674065,0.12052610828692313
171,0.36527502851963545,43.07203799983242,0.12192191640137492
172,0.3963080583106599,49.641508034097505,0.11808921093541035
173,0.42540452772546805,76.06508519492252,0.11752190157153104
174,0.4332225208469586,85.21123106012027,0.1309608822565748
175,0.43255544653543954,78.38122975222305,0.1540328240528501
176,0.4271707795271574,70.44792285270832,0.18776011303510284
177,0.4170242661155146,64.15020393677088,0.23847104894231064
178,0.40239923414433926,60.95448347948748,0.31873566306788287
179,0.38670863950829426,60.62294322839017,0.4565662926058159
180,0.3742888835777842,61.3120733722769,0.7360867474571586
226,0.2690842179843696,36.071269864411065,0.1220185652926721
227,0.27367671445028446,35.91209755000969,0.1290987484902081
228,0.279167480864436,35.80099550001866,0.1369612072194073
229,0.28453094715641036,35.677987998326195,0.14605469856904488
230,0.29038976492470114,35.57768493358945,0.1565066072024165
231,0.2967007290574352,35.496808452938154,0.16869426603035206
232,0.3036937310177514,35.455242279165724,0.18304232757767883
233,0.31157357369590755,35.482035338158724,0.2001780813469234
234,0.3204655144026425,35.580383943661545,0.2211297704113305
235,0.3309986393143523,35.84594128875452,0.2471849770724125
236,0.3438055895588882,36.43346438789138,0.2803913033809548
237,0.36144000086639116,37.92055557474909,0.32306320963641355
238,0.42595750637418717,47.79420125608292,0.34019190048408227
239,0.4508451983128809,108.31855193452627,0.29196906863178057
240,0.4211876006499467,93.77396193136691,0.5458972567713943
241,0.2782518297372444,36.658221587912394,0.11992148539056084
242,0.28206744494289376,36.51014639463266,0.1270083931350496
243,0.28639363058960193,36.37343443539409,0.13497603536183914
244,0.2911019941264481,36.236044598482806,0.14407164238231607
245,0.29660823098062833,36.13568811055701,0.1544363485292522
246,0.3021351887913964,35.98637201516507,0.166695433816032
247,0.30808074946362674,35.81550277178043,0.18126351810205735
248,0.3148516274337933,35.66022642810579,0.1987442322181479
249,0.3228149132756314,35.553229108506926,0.22008839392186283
250,0.3323450848366406,35.543111542170315,0.24674489506722755
251,0.3440164534519026,35.75181914784515,0.2809330466031386
252,0.35986644037082155,36.626594606441216,0.32561301465868603
253,0.40730254493609785,44.021902771857036,0.36056144102232907
254,0.4573300324765135,90.6957763211204,0.3014995457417705
255,0.42656545667822604,99.37675212038107,0.5297823527191016
256,0.2819938628378367,37.02246420002325,0.11892552782251502
257,0.28572056225819803,36.883197649996134,0.12596302357987993
258,0.28965063529690366,36.725698686952185,0.13396268838797473
259,0.29400635127663877,36.56396161644881,0.14308512206386784
260,0.2987748956613613,36.389271637026376,0.15361561758124326
261,0.3040816479310243,36.21095783947652,0.16589080268530818
262,0.30992728778700723,36.019708041008634,0.18043586450818738
263,0.3166383001312358,35.84173720313005,0.19787845621885977
264,0.3244629554622872,35.69489978889829,0.21922734301667876
265,0.3336656401821661,35.606416321701666,0.24601559923833546
266,0.3450274232522987,35.71648787155113,0.2803895245098214
267,0.36055503998374316,36.45778086726305,0.3253858470582965
268,0.40111261173510937,42.505093837477766,0.36767277903430357
269,0.4599992298465357,87.40910381012466,0.3033721023658182
270,0.4279784995076547,100.7531762218806,0.5251188103382879
