CASE_NUM,Pe,tau,RAE
1,0.3383381779692215,60.69692109473849,0.10555995754107268
2,0.3381482512793058,59.96456341356625,0.11275282027285884
3,0.3378866700489277,59.23851134262934,0.1209917046616143
4,0.3375411667589469,58.52634793272195,0.13051993115583232
5,0.3371132921764955,57.84013924318565,0.14166224413311942
6,0.3366005465924268,57.18729873070622,0.1548651931895056
7,0.33597293618043045,56.57967599205853,0.1707523336156525
8,0.33526416904764866,56.032966160969465,0.1902260667626458
9,0.3344393961405302,55.56550824170054,0.21463842294139304
10,0.3334795688671929,55.2027472451604,0.24612948591957176
11,0.33238876500961245,54.953092035137445,0.288240760961537
12,0.33115636764351863,54.83172590285896,0.347361834733339
13,0.3297443174096716,54.833559108368455,0.436287500284974
14,0.328148166349969,54.95356124919057,0.5848365469654427
15,0.32630899755737963,55.18856423768339,0.8825554103011449
16,0.33823201348045917,60.92799465592572,0.10537822808530106
17,0.33803570537445504,60.181256820294045,0.1125615998063274
18,0.3377594077324472,59.44137992132489,0.12078999941205293
19,0.3374233688492217,58.71787079449848,0.13030618810855663
20,0.3369866508317695,58.0141908560045,0.14143722726564167
21,0.33646124801555854,57.35020519167154,0.15462535563753493
22,0.33584054362758436,56.732692233561295,0.17049613067555827
23,0.3350869119520992,56.177331410829765,0.1899503253423929
24,0.334270150924537,55.704370323060935,0.21434069906291875
25,0.3332798869819255,55.33476755763749,0.2458108459048409
26,0.3321863560800779,55.079534888237326,0.28788897337971636
27,0.33093502408311243,54.95047652901424,0.3469804428058478
28,0.3295390892160262,54.945563705518616,0.43584491587340285
29,0.3279724650576537,55.05007388469714,0.5843021643457215
30,0.32619900842423155,55.2812054183419,0.8818335443424559
31,0.33888779426388593,60.9576242296609,0.10510477941081847
32,0.3386776457922354,60.198685481731474,0.11227510441859472
33,0.3383925075581949,59.45195660257587,0.12048850781128723
34,0.3380236306809384,58.72075543688086,0.12998861363934752
35,0.3375847536962016,58.01028303986446,0.1411003193666151
