,mass_fraction,time
0,0.0,0.0
1,1.160176413510162e-102,0.000533338
2,9.448433459118007e-100,0.001066676
3,6.596845009947459e-103,0.001600014
4,6.5715068484541296e-96,0.002133352
5,3.850345683808855e-96,0.00266669
6,4.692541353262971e-95,0.003200028
7,5.100122950856283e-98,0.003733366
8,1.894045112120407e-95,0.004266704
9,6.841544202657582e-100,0.0048000419999999
10,9.787568154333034e-89,0.0053333799999999
11,4.231591659772019e-90,0.005866718
12,2.388224830729651e-89,0.0064000559999999
13,1.210391549041724e-88,0.0069333939999999
14,1.115078168839929e-87,0.0074667319999999
15,1.59538057166751e-84,0.00800007
16,2.55090688698184e-104,0.0085334079999999
17,3.410178028645807e-95,0.0090667459999999
18,3.070417921961291e-84,0.0096000839999999
19,4.615597217378292e-81,0.010133422
20,1.802228919161704e-79,0.01066676
21,1.252042748245302e-78,0.011200098
22,5.814819575407981e-78,0.011733436
23,2.695630279336077e-77,0.012266774
24,1.121779387727055e-76,0.012800112
25,3.684368545300325e-76,0.01333345
26,1.009537263567534e-75,0.013866788
27,2.5168662121120202e-76,0.014400126
28,0.0,0.014933464
29,0.0,0.015466802
30,0.0,0.01600014
31,4.1946052658130053e-73,0.016533478
32,1.566796168348161e-72,0.017066816
33,4.2468280823817693e-72,0.017600154
34,7.803113426259964e-72,0.018133492
35,1.070622098129229e-71,0.01866683
36,1.4781911141018829e-71,0.019200168
37,2.867040891855692e-71,0.019733506
38,7.521893632179058e-71,0.020266844
39,1.700672649484832e-70,0.020800182
40,2.649011181545226e-70,0.02133352
41,4.937809390877007e-69,0.021866858
42,2.431394806214066e-67,0.022400196
43,1.3225105671932482e-66,0.022933534
44,5.267129341183061e-66,0.023466872
45,1.97801760825194e-65,0.02400021
46,6.940379397491695e-65,0.024533548
47,2.35782583801523e-64,0.025066886
48,7.639205388403963e-64,0.025600224
49,2.385895065567625e-63,0.026133562
50,6.876255169135942e-63,0.0266669
51,1.878630563127062e-62,0.027200238
52,5.396396962009132e-62,0.027733576
53,1.646197539356157e-61,0.028266914
54,5.171148305762169e-61,0.028800252
55,1.5277774886232222e-60,0.02933359
56,4.59945182677168e-60,0.029866928
57,1.7451025455528722e-59,0.030400266
58,5.919618979098312e-59,0.030933604
59,1.938864994267855e-58,0.031466942
60,5.941171456415976e-58,0.03200028
61,1.802160728457324e-57,0.032533618
62,5.324593808373574e-57,0.033066956
63,1.7754660078963839e-56,0.033600294
64,1.3083099433272008e-54,0.034133632
65,7.41684928181981e-55,0.03466697
66,1.3994796322418799e-55,0.035200308
67,2.836888014985493e-56,0.035733646
68,1.884905330184498e-56,0.036266984
69,2.6934656785100987e-56,0.036800322
70,4.1363258401761605e-56,0.03733366
71,7.944065583732818e-56,0.037866998
72,1.668486584025348e-55,0.038400336
73,4.6392546266041256e-55,0.0389336739999999
74,1.4314899916594738e-54,0.039467012
75,4.0562404840766606e-54,0.04000035
76,1.160437215227251e-53,0.040533688
77,3.231917114111517e-53,0.041067026
78,8.953031077959356e-53,0.041600364
79,2.499068517047841e-52,0.042133702
80,6.796291006343037e-52,0.04266704
81,1.8189556488216642e-51,0.043200378
82,4.877913979625865e-51,0.043733716
83,1.30927191505623e-50,0.044267054
84,3.537430951329292e-50,0.0448003919999999
85,9.596825973631365e-50,0.04533373
86,2.629414036272776e-49,0.045867068
87,7.119469869994911e-49,0.046400406
88,2.004991263831599e-48,0.046933744
89,5.68846229106551e-48,0.047467082
90,1.635413356227032e-47,0.04800042
91,3.220986202075175e-63,0.048533758
92,7.452710724286168e-64,0.049067096
93,1.560026018375794e-65,0.049600434
94,2.465894889911859e-110,0.050133772
95,2.437380345436351e-110,0.0506671099999999
96,1.9199248221438297e-42,0.051200448
97,1.905354871066353e-43,0.051733786
98,1.447413283097698e-43,0.052267124
99,2.180247176114347e-93,0.052800462
100,1.713933746987609e-95,0.0533337999999999
101,2.197117811034881e-110,0.0538671379999999
102,6.075931283592671e-41,0.054400476
103,1.626691939650271e-41,0.054933814
104,1.9251925209166838e-41,0.055467152
105,2.727820274790089e-41,0.0560004899999999
106,5.835919527696341e-112,0.0565338279999999
107,8.75942495290482e-90,0.057067166
108,3.71745110110669e-91,0.057600504
109,1.1982464403652679e-39,0.058133842
110,1.476696101185062e-39,0.05866718
111,2.104141759768376e-39,0.0592005179999999
112,2.2072490246009438e-39,0.0597338559999999
113,2.058447704971424e-39,0.060267194
114,9.011735816996734e-40,0.060800532
115,3.574989873571957e-40,0.06133387
116,1.702986992975446e-40,0.0618672079999999
117,6.249279288614404e-76,0.0624005459999999
118,1.498044015324953e-40,0.062933884
119,1.4923270956874061e-64,0.0634672219999999
120,3.619836194353048e-67,0.0640005599999999
121,8.641392503539034e-70,0.0645338979999999
122,3.779257167316145e-94,0.0650672359999999
123,3.674192879613239e-94,0.0656005739999999
124,2.5603267628285397e-94,0.0661339119999999
125,4.5253927535534125e-96,0.0666672499999999
126,3.064289336563645e-96,0.0672005879999999
127,2.839523379027972e-37,0.0677339259999999
128,8.480279477964075e-108,0.0682672639999999
129,7.936512574046261e-108,0.0688006019999999
130,4.473583348399484e-35,0.0693339399999999
131,2.584680679818099e-34,0.0698672779999999
132,3.508236991167107e-33,0.0704006159999999
133,3.1911661545765766e-33,0.0709339539999999
134,3.423286904153993e-32,0.0714672919999999
135,6.799812604263301e-32,0.0720006299999999
136,4.0079729775720447e-32,0.0725339679999999
137,5.2575724620305875e-33,0.0730673059999999
138,1.280402272216489e-31,0.0736006439999999
139,3.477914770897729e-31,0.0741339819999999
