,mass_fraction,time
0,0.0,0.0
1,2.559303303456395e-243,9.60008e-05
2,1.558530178569301e-231,0.0001920016
3,3.9253717229264564e-244,0.0002880024
4,1.794672019685009e-241,0.0003840032
5,1.708359267112347e-247,0.000480004
6,1.234992532717797e-235,0.0005760048
7,3.276000130033313e-235,0.0006720056
8,2.9350788996963572e-232,0.0007680064
9,8.704945856351252e-231,0.0008640072
10,4.5589684494641005e-229,0.000960008
11,1.332729382637688e-235,0.0010560088
12,1.977303518908571e-230,0.0011520096
13,1.526861212127347e-225,0.0012480104
14,4.042575254436805e-224,0.0013440112
15,2.142061930539726e-225,0.001440012
16,3.706996200716385e-222,0.0015360128
17,1.137275672588234e-221,0.0016320136
18,2.2137264454491827e-233,0.0017280144
19,4.7136811194561e-229,0.0018240152
20,1.614749720273315e-223,0.001920016
21,9.127347650996727e-220,0.0020160168
22,1.539008498136275e-217,0.0021120176
23,1.0531253032235719e-216,0.0022080184
24,4.761074272661275e-216,0.0023040192
25,2.7585189844271835e-215,0.00240002
26,9.887808600517879e-215,0.0024960208
27,3.0937153676410703e-214,0.0025920216
28,3.006953890920435e-213,0.0026880224
29,1.183771166866172e-213,0.0027840232
30,7.028336908776466e-212,0.002880024
31,3.1893435243677213e-211,0.0029760248
32,6.142319454307148e-211,0.0030720256
33,1.264562613964369e-209,0.0031680264
34,1.748888554357291e-210,0.0032640272
35,9.668900181092468e-209,0.003360028
36,1.573461093173034e-207,0.0034560288
37,7.034087741146489e-207,0.0035520296
38,4.965313666352556e-208,0.0036480304
39,4.0941693918182706e-206,0.0037440312
40,1.0410023930769279e-206,0.003840032
41,3.503052254734032e-205,0.0039360328
42,1.31948773532701e-206,0.0040320336
43,6.663095311196698e-205,0.0041280344
44,3.127136217488263e-206,0.0042240352
45,2.835882051223349e-206,0.004320036
46,2.57157509609221e-206,0.0044160368
47,2.33162314919648e-206,0.0045120376
48,2.1137275867892788e-206,0.0046080384
49,1.9160955973864568e-206,0.0047040392
50,1.737734532970327e-206,0.00480004
51,1.576515412467961e-206,0.0048960408
52,1.432450260984843e-206,0.0049920416
53,1.3068269917008828e-206,0.0050880424
54,1.153921182194148e-206,0.0051840432
55,1.0357832539797e-206,0.005280044
56,9.331083858018551e-207,0.0053760448
57,8.509490267258836e-207,0.0054720456
58,7.950525567809853e-207,0.0055680464
59,1.838771509540269e-206,0.0056640472
60,6.259773560293975e-206,0.005760048
61,2.589924695535289e-205,0.0058560488
62,1.070304643049703e-204,0.0059520496
63,4.2446968245593174e-204,0.0060480504
64,1.3483213998375828e-203,0.0061440512
65,4.3619623119311456e-203,0.006240052
66,1.2462880290425511e-202,0.0063360528
67,3.127848174954224e-202,0.0064320536
68,1.314718142018948e-201,0.0065280544
69,3.740598092381942e-201,0.0066240552
70,1.355744269757642e-201,0.006720056
71,1.288591975230597e-201,0.0068160568
72,2.130143080646476e-201,0.0069120576
73,1.523112049110299e-201,0.0070080584
74,5.561431110256949e-202,0.0071040592
75,1.66207659719178e-202,0.00720006
76,1.976497411440251e-202,0.0072960608
77,7.704179868940782e-203,0.0073920616
78,1.87488974693528e-177,0.0074880624
79,7.013774395510582e-180,0.0075840632
80,1.452390405445939e-180,0.007680064
81,2.552008006635447e-176,0.0077760648
82,1.2252561392060119e-175,0.0078720656
83,2.3565724238262608e-178,0.0079680664
84,1.8957264830787028e-178,0.0080640672
85,1.302419063524027e-178,0.0081600679999999
86,6.173126756397902e-179,0.0082560687999999
87,5.3915630263751315e-179,0.0083520696
88,4.6576335288258755e-179,0.0084480704
89,3.9383077849940555e-179,0.0085440712
90,3.25306845962206e-179,0.0086400719999999
91,2.686105658937764e-179,0.0087360728
92,2.384008374348209e-179,0.0088320736
93,2.109750337533168e-179,0.0089280744
94,1.35521347370471e-179,0.0090240751999999
95,8.389564498017592e-180,0.009120076
96,9.496384276882222e-171,0.0092160768
97,6.716126167546818e-171,0.0093120776
98,5.7963877837891295e-171,0.0094080783999999
99,4.974467251995329e-171,0.0095040792
100,4.234536851916118e-171,0.00960008
101,3.579974665506632e-171,0.0096960808
102,3.019009425698079e-171,0.0097920815999999
103,2.536667246236918e-171,0.0098880824
104,2.128707648576291e-171,0.0099840832
105,1.7739771933296281e-171,0.010080084
106,1.470614306491723e-171,0.0101760848
107,1.219060116032233e-171,0.0102720856
108,1.017953945190695e-171,0.0103680864
109,8.452266611879105e-172,0.0104640872
110,6.956556408207509e-172,0.010560088
111,5.691836564308684e-172,0.0106560888
112,4.733488767623398e-172,0.0107520896
113,3.932433105028258e-172,0.0108480904
114,3.241820807774343e-172,0.0109440912
115,2.64965413153636e-172,0.011040092
116,2.1867941689762273e-172,0.0111360928
117,1.8252894222640662e-172,0.0112320936
118,1.517036112001353e-172,0.0113280944
119,1.25807795758063e-172,0.0114240952
120,1.0427031908752261e-172,0.011520096
121,8.772507924681425e-173,0.0116160968
122,7.569194455773407e-173,0.0117120976
123,6.667457462756434e-173,0.0118080984
124,6.134338396641408e-173,0.0119040992
125,6.0326174680874925e-173,0.0120001
126,6.492793425139398e-173,0.0120961008
127,7.632542367215415e-173,0.0121921016
128,9.511897713092484e-173,0.0122881024
129,1.2411669378602391e-172,0.0123841032
130,1.66484335473106e-172,0.012480104
131,2.2821650497167062e-172,0.0125761048
132,3.211585598928246e-172,0.0126721056
133,4.559412840792883e-172,0.0127681064
134,6.435742043098274e-172,0.0128641072
135,9.035794387520663e-172,0.012960108
136,1.259535698253356e-171,0.0130561088
137,1.722871492890782e-171,0.0131521096
138,2.378070283177017e-171,0.0132481104
