,mass_fraction,time
0,0.0,0.0
1,2.4318523300824237e-152,0.000246156
2,0.0,0.000492312
3,2.022108971532625e-136,0.0007384679999999
4,1.906130722229401e-155,0.0009846239999999
5,3.87385517652385e-129,0.00123078
6,5.672332440409994e-119,0.001476936
7,2.452328529709798e-117,0.001723092
8,3.333235093076731e-117,0.001969248
9,9.452410705409479e-116,0.002215404
10,6.200776836211908e-112,0.00246156
11,7.300472218292042e-114,0.002707716
12,1.979972425467612e-114,0.002953872
13,8.395642645214979e-114,0.003200028
14,1.113159507409567e-111,0.003446184
15,7.116297154814883e-108,0.00369234
16,4.1650670958447864e-108,0.003938496
17,1.519479707415776e-107,0.004184652
18,1.5917451173905092e-104,0.004430808
19,8.738433285509889e-103,0.004676964
20,8.40871106100657e-102,0.00492312
21,4.932144835097913e-101,0.005169276
22,9.792014523587691e-101,0.005415432
23,1.901358315750535e-100,0.005661588
24,1.175258914944418e-99,0.0059077439999999
25,5.521916055138086e-97,0.0061538999999999
26,1.066854539381881e-95,0.0064000559999999
27,6.7672834679761095e-96,0.0066462119999999
28,7.300742249620495e-95,0.0068923679999999
29,7.32113989135536e-95,0.0071385239999999
30,1.009099489943717e-94,0.0073846799999999
31,3.651798076692243e-94,0.0076308359999999
32,1.6964697173490818e-93,0.0078769919999999
33,3.317408698418372e-93,0.008123148
34,8.898901060270856e-93,0.008369304
35,9.961662356333968e-92,0.0086154599999999
36,1.967782822298913e-90,0.0088616159999999
37,2.496600808429748e-89,0.009107772
38,2.763414359994329e-88,0.009353928
39,2.292899045707017e-87,0.0096000839999999
40,1.64695740397332e-86,0.0098462399999999
41,9.951090092974129e-86,0.010092396
42,5.247344014110846e-85,0.010338552
43,2.517656912352021e-84,0.010584708
44,1.125123673393494e-83,0.010830864
45,4.699499467384342e-83,0.01107702
46,1.867812627728853e-82,0.011323176
47,7.110120090443878e-82,0.011569332
48,2.59572226763662e-81,0.011815488
49,9.118177148559675e-81,0.012061644
50,3.042814207080847e-80,0.0123078
51,9.156351365646807e-80,0.012553956
52,2.179924564674761e-79,0.012800112
53,5.658883724301807e-79,0.013046268
54,1.783922911465346e-78,0.013292424
55,6.688910204376952e-78,0.01353858
56,2.279342502102031e-77,0.013784736
57,6.932178518109307e-77,0.014030892
58,2.079369706646689e-76,0.014277048
59,1.1423476738890219e-76,0.014523204
60,4.512722605257914e-76,0.01476936
61,1.769887188055061e-75,0.015015516
62,4.258708270826938e-75,0.015261672
63,7.976096831315876e-75,0.015507828
64,8.590200747833313e-75,0.015753984
65,6.593036794199005e-75,0.01600014
66,3.545942462021849e-75,0.016246296
67,1.266013707750866e-75,0.016492452
68,3.25905972525773e-76,0.016738608
69,1.74793250041344e-77,0.016984764
70,0.0,0.01723092
71,0.0,0.017477076
72,0.0,0.017723232
73,0.0,0.017969388
74,9.384340532865892e-72,0.018215544
75,4.749886231452289e-69,0.0184617
76,5.103535239930057e-68,0.018707856
77,1.9830078531728762e-67,0.018954012
78,4.984813294128037e-67,0.019200168
79,9.499010948925133e-67,0.019446324
80,1.4762232539126242e-66,0.01969248
81,1.96882811367686e-66,0.019938636
82,2.2436595629455072e-66,0.020184792
83,2.2108556580997572e-66,0.020430948
84,2.158681316872741e-66,0.020677104
85,1.9115534438915462e-66,0.02092326
86,1.3509132030451362e-66,0.021169416
87,8.714014705166888e-67,0.021415572
88,5.2605549127666744e-67,0.021661728
89,2.093839343877626e-67,0.021907884
90,1.011643240253051e-68,0.02215404
91,7.304852187003493e-83,0.022400196
92,0.0,0.022646352
93,0.0,0.022892508
94,0.0,0.023138664
95,0.0,0.02338482
96,0.0,0.023630976
97,0.0,0.023877132
98,0.0,0.024123288
99,0.0,0.024369444
100,0.0,0.0246156
101,0.0,0.024861756
102,0.0,0.025107912
103,0.0,0.025354068
104,0.0,0.025600224
105,0.0,0.02584638
106,0.0,0.026092536
107,0.0,0.026338692
108,0.0,0.026584848
109,0.0,0.026831004
110,0.0,0.02707716
111,0.0,0.027323316
112,0.0,0.027569472
113,0.0,0.027815628
114,0.0,0.028061784
115,0.0,0.02830794
116,0.0,0.028554096
117,0.0,0.028800252
118,0.0,0.029046408
119,1.3467603678482189e-47,0.029292564
120,9.513091723258507e-47,0.02953872
121,3.1993411682595733e-46,0.029784876
122,7.614597808176423e-46,0.030031032
123,1.4555252930813782e-45,0.030277188
124,2.355750729511667e-45,0.030523344
125,3.314637108610054e-45,0.0307695
126,4.11392133947553e-45,0.031015656
127,4.608416296933653e-45,0.0312618119999999
128,4.604709283130152e-45,0.031507968
129,4.147789306194145e-45,0.0317541239999999
130,3.560043876447987e-45,0.0320002799999999
131,2.852225224841035e-45,0.032246436
132,2.0547649104961192e-45,0.0324925919999999
133,1.455077360780715e-45,0.032738748
134,9.843823328719493e-46,0.032984904
135,5.680689827850117e-46,0.0332310599999999
136,2.1176636267283153e-46,0.033477216
137,2.3812883714252237e-47,0.0337233719999999
138,5.431413227475225e-54,0.0339695279999999
139,1.4849303538610429e-56,0.034215684
140,3.415604537708641e-60,0.0344618399999999
141,2.256395458046311e-60,0.0347079959999999
142,0.0,0.034954152
143,0.0,0.0352003079999999
144,0.0,0.035446464
145,0.0,0.0356926199999999
146,0.0,0.0359387759999999
147,0.0,0.036184932
148,0.0,0.0364310879999999
149,0.0,0.036677244
150,0.0,0.0369234
151,0.0,0.0371695559999999
152,0.0,0.037415712
153,0.0,0.0376618679999999
154,0.0,0.0379080239999999
155,0.0,0.03815418
156,0.0,0.0384003359999999
157,0.0,0.0386464919999999
