,Et,time
0,0.0,0.0
1,2.206599031250808e-242,0.000144001
2,1.4040480821798865e-235,0.000288002
3,8.805776322598288e-250,0.000432003
4,7.848250568167951e-253,0.000576004
5,4.032159822936564e-223,0.0007200049999999
6,4.701341748264838e-220,0.0008640059999999
7,1.7550264868627092e-217,0.001008007
8,5.372074961943705e-231,0.001152008
9,6.99148527063612e-214,0.001296009
10,1.859868431618288e-212,0.00144001
11,2.641321034154494e-211,0.001584011
12,1.745882177048111e-210,0.001728012
13,1.659581779143758e-208,0.001872013
14,2.3563661042666388e-209,0.002016014
15,2.884826053523264e-214,0.002160015
16,1.1141468624680585e-214,0.002304016
17,4.135352236814244e-215,0.002448017
18,2.1859535968056698e-215,0.002592018
19,1.0727127876424887e-215,0.002736019
20,1.3952918240611636e-219,0.00288002
21,6.934065263084434e-213,0.003024021
22,1.0496751802925196e-206,0.003168022
23,9.523988017522886e-207,0.003312023
24,1.613280858039021e-207,0.003456024
25,3.922390879531746e-201,0.003600025
26,1.1361220918097637e-199,0.003744026
27,1.0594867750533601e-200,0.003888027
28,9.94076547122402e-202,0.004032028
29,7.009518504053811e-200,0.004176029
30,9.196522467301769e-215,0.00432003
31,2.8386222405338367e-201,0.004464031
32,1.4234227356351626e-199,0.004608032
33,3.693789780857463e-198,0.004752033
34,8.640703065929173e-199,0.004896034
35,2.952757536707416e-194,0.005040035
36,6.562574685498748e-194,0.005184036
37,5.901827911186197e-195,0.005328037
38,9.430402472853736e-196,0.005472038
39,1.0609499848187715e-194,0.005616039
40,1.4584674855149694e-195,0.00576004
41,2.5032764619797798e-194,0.005904041
42,4.007657047969927e-194,0.006048042
43,1.3571151380843738e-193,0.006192043
44,2.0978302044866963e-193,0.006336044
45,1.0752815073826793e-191,0.006480045
46,1.6490027341099611e-193,0.006624046
47,1.7550561935421012e-193,0.006768047
48,1.5964148854150798e-193,0.006912048
49,2.0429546999016395e-193,0.007056049
50,4.741702775835385e-194,0.00720005
51,5.68356643201231e-193,0.007344051
52,2.51325545956103e-192,0.007488052
53,8.620459826135062e-192,0.007632053
54,1.8919855330506166e-191,0.007776054
55,2.995704121962514e-191,0.0079200549999999
56,6.536464094974882e-191,0.0080640559999999
57,1.4924683887943444e-190,0.008208057
58,4.737235710951862e-190,0.0083520579999999
59,1.0781583100020453e-189,0.0084960589999999
60,9.918671071845563e-190,0.00864006
61,6.096069463684761e-190,0.0087840609999999
62,1.7197646535716926e-192,0.0089280619999999
63,3.1175250796305392e-192,0.0090720629999999
64,2.0846971871843566e-195,0.009216064
65,9.87845861670712e-196,0.0093600649999999
66,2.6817328654798973e-196,0.0095040659999999
67,7.255388076614247e-196,0.009648067
68,6.515685696117312e-196,0.0097920679999999
69,6.044191960473791e-196,0.0099360689999999
70,8.997084576669204e-196,0.01008007
71,1.3002432764533283e-195,0.010224071
72,2.131462839636174e-195,0.010368072
73,6.504701501931162e-195,0.010512073
74,1.264348279040724e-194,0.010656074
75,2.0378373421996242e-194,0.010800075
76,3.7237432420033063e-194,0.010944076
77,9.659437369452012e-179,0.011088077
78,9.421842331986409e-177,0.011232078
79,1.6193341421940932e-185,0.011376079
80,2.439850669530817e-176,0.01152008
81,1.279945250388212e-179,0.011664081
82,7.762576841424135e-171,0.011808082
83,6.269411599732131e-171,0.011952083
84,5.209038568736913e-171,0.012096084
85,4.307861588861551e-171,0.012240085
86,3.761218821545072e-171,0.012384086
87,3.288912846311755e-171,0.012528087
88,2.874520965293682e-171,0.012672088
89,2.5114961969053386e-171,0.012816089
90,2.2027583004770303e-171,0.01296009
91,7.297909698981563e-165,0.013104091
92,2.1054944694025359e-165,0.013248092
93,2.317508167559315e-165,0.013392093
94,1.0788692775309394e-165,0.013536094
95,2.2210635568501153e-165,0.013680095
96,3.964833657934299e-165,0.013824096
97,6.519441211448076e-165,0.013968097
98,4.938614079372421e-164,0.014112098
99,8.887653220881694e-164,0.014256099
100,7.273888120592677e-165,0.0144001
101,3.03432711851106e-165,0.014544101
102,4.213995456719731e-165,0.014688102
103,5.76446180583512e-165,0.014832103
104,7.66659811273019e-165,0.014976104
105,1.0243557607278005e-164,0.015120105
106,1.2718974685387692e-164,0.015264106
107,1.6306321815564907e-164,0.015408107
108,2.093067758356441e-164,0.015552108
109,2.6531134352696357e-164,0.015696109
110,3.303370062241358e-164,0.01584011
111,4.196493185010169e-164,0.015984111
112,5.373163789993369e-164,0.016128112
113,6.921480810214871e-164,0.016272113
114,5.913563422782449e-161,0.016416114
115,1.1412438873052631e-163,0.016560115
116,5.428365082859015e-164,0.016704116
117,6.819468301691158e-164,0.016848117
118,8.475274716051734e-164,0.016992118
119,7.225757498582621e-163,0.017136119
120,9.94598522163185e-161,0.01728012
121,4.921652481477583e-159,0.017424121
122,1.1946129202381705e-157,0.017568122
123,1.8239933755232248e-156,0.017712123
124,2.2863764465631707e-155,0.017856124
125,1.1331479889061506e-161,0.018000125
126,2.1725861233987158e-153,0.018144126
127,3.0327880134627357e-156,0.018288127
128,2.3823034353281304e-151,0.018432128
129,3.62579365284164e-148,0.018576129
130,1.8768931439235144e-169,0.01872013
131,1.0262333526255513e-172,0.018864131
132,4.9462551041574286e-174,0.019008132
133,2.0787336751021822e-175,0.019152133
134,2.947340601521849e-177,0.019296134
135,1.136202839891061e-177,0.019440135
136,9.942310709897113e-179,0.019584136
137,6.116260183935246e-179,0.019728137
138,2.0179763112322443e-183,0.019872138
139,1.973578822208669e-183,0.020016139
140,2.019913991723681e-183,0.02016014
141,2.03344386829321e-183,0.020304141
142,1.8476974286515082e-183,0.020448142
143,1.745984381807173e-183,0.020592143
144,1.960147304757991e-183,0.020736144
145,2.423201170275234e-183,0.020880145
146,3.0584526045700897e-183,0.021024146
147,3.853194137209844e-183,0.021168147
148,4.796481409471832e-183,0.021312148
149,5.876551970080922e-183,0.021456149
150,7.081732737139582e-183,0.02160015
151,8.401126726161485e-183,0.021744151
152,9.84451662891057e-183,0.021888152
153,1.1843681246663626e-179,0.022032153
154,2.808808243823943e-179,0.022176154
155,1.4792212105286336e-182,0.022320155
156,9.487616150904606e-180,0.022464156
157,8.470355980796578e-179,0.022608157
158,4.8326489322495743e-178,0.022752158
159,2.3966447715320213e-177,0.022896159
160,2.847560369742355e-178,0.02304016
161,5.6578320146248754e-182,0.023184161
162,2.9316943270851044e-182,0.023328162
163,3.139379258698291e-182,0.023472163
164,3.306478839574062e-182,0.023616164
165,3.4381243152173724e-182,0.023760165
166,3.519681021205845e-182,0.023904166
167,3.549342312940899e-182,0.024048167
168,3.691970688189601e-182,0.024192168
169,3.8738278039448484e-182,0.024336169
170,4.334525155640271e-179,0.02448017
171,1.226803285538136e-178,0.024624171
172,1.944126704304271e-178,0.024768172
173,7.681637970674064e-181,0.024912173
174,3.536563552209005e-177,0.025056174
175,8.440066863480283e-178,0.025200175
176,1.183805420147772e-179,0.025344176
177,3.0490751138128323e-180,0.025488177
178,4.22840649892645e-179,0.025632178
179,6.16302080055164e-179,0.025776179
180,5.339481982971002e-179,0.02592018
181,2.2335017377726698e-179,0.026064181
182,8.144592831370017e-180,0.026208182
183,1.3587779411162893e-180,0.026352183
184,1.2831950608914021e-180,0.026496184
185,5.5521727972476995e-180,0.026640185
186,2.341628044432329e-177,0.026784186
187,8.69732627141677e-180,0.026928187
188,6.3738563925221565e-180,0.027072188
189,2.4976779114615886e-180,0.027216189
190,1.6065201302223775e-180,0.02736019
191,2.0116815812882743e-180,0.027504191
192,2.422201160064942e-180,0.027648192
193,2.8447791275563767e-180,0.027792193
194,6.929219945101098e-179,0.027936194
195,4.1019039705799596e-180,0.028080195
196,3.770764175759089e-178,0.028224196
197,7.294629262133542e-179,0.028368197
198,1.3996691974594343e-178,0.028512198
199,2.049510757733604e-178,0.028656199
200,9.239498944198373e-173,0.0288002
201,5.361180454404703e-172,0.028944201
202,2.766081791136554e-191,0.029088202
203,1.1139433865461582e-187,0.029232203
204,0.0,0.029376204
205,0.0,0.029520205
206,0.0,0.029664206
207,0.0,0.029808207
208,0.0,0.029952208
209,0.0,0.030096209
210,0.0,0.03024021
211,0.0,0.030384211
212,0.0,0.030528212
213,0.0,0.030672213
214,0.0,0.030816214
215,0.0,0.030960215
216,0.0,0.031104216
217,0.0,0.031248217
218,0.0,0.031392218
219,0.0,0.031536219
220,0.0,0.03168022
221,0.0,0.0318242209999999
222,0.0,0.031968222
223,0.0,0.032112223
224,0.0,0.0322562239999999
225,0.0,0.032400225
226,0.0,0.032544226
227,0.0,0.0326882269999999
228,0.0,0.032832228
229,0.0,0.032976229
230,0.0,0.0331202299999999
231,9.3122392239367e-164,0.033264231
232,0.0,0.033408232
233,4.253954911908215e-174,0.0335522329999999
234,2.5357663505191976e-172,0.033696234
235,8.402518644234234e-173,0.033840235
236,2.3103619696966486e-173,0.0339842359999999
237,0.0,0.034128237
238,9.957402948351878e-174,0.034272238
239,0.0,0.0344162389999999
240,0.0,0.03456024
241,0.0,0.034704241
242,0.0,0.0348482419999999
243,0.0,0.034992243
244,0.0,0.035136244
245,0.0,0.0352802449999999
246,0.0,0.0354242459999999
247,2.2752829989740933e-161,0.035568247
248,3.780368759256097e-145,0.035712248
249,7.195187852342164e-145,0.0358562489999999
250,2.4459362384342446e-142,0.03600025
251,3.3540030305288396e-125,0.036144251
252,6.073843663758959e-129,0.0362882519999999
253,3.1406974004109593e-133,0.036432253
254,2.462652882828209e-137,0.036576254
255,1.884548870147077e-137,0.0367202549999999
256,1.5570684208740953e-142,0.036864256
257,1.1505603237407538e-142,0.037008257
258,1.5374120217940973e-142,0.0371522579999999
259,2.2735636535254035e-142,0.037296259
260,2.4656462613961677e-142,0.03744026
261,2.212940544024681e-142,0.0375842609999999
262,1.905526612233253e-142,0.037728262
263,1.5686653386108567e-142,0.037872263
264,3.78223113514998e-143,0.0380162639999999
265,1.6427441523147333e-148,0.038160265
266,1.887552878423429e-148,0.038304266
267,1.6125036111918705e-148,0.0384482669999999
268,3.1383458273095976e-149,0.038592268
269,1.823998327261748e-154,0.038736269
270,1.8897494866149504e-154,0.0388802699999999
271,1.9673930887017687e-154,0.0390242709999999
272,2.0384015697724876e-154,0.039168272
273,2.1479584217216386e-154,0.0393122729999999
274,2.2522309734975896e-154,0.0394562739999999
275,2.3475396575643324e-154,0.039600275
276,2.4299655283658894e-154,0.039744276
277,2.486461604511509e-154,0.0398882769999999
278,1.4664184950028756e-97,0.040032278
279,1.0101714657577094e-97,0.040176279
280,4.077192459601648e-96,0.0403202799999999
281,3.800221255509843e-96,0.040464281
282,2.4188301180265165e-98,0.040608282
283,0.0,0.0407522829999999
284,0.0,0.040896284
285,0.0,0.041040285
286,0.0,0.0411842859999999
287,0.0,0.041328287
288,1.7496610231752506e-97,0.041472288
289,5.842425464518326e-100,0.0416162889999999
290,6.113546757851312e-97,0.04176029
291,7.043051697852515e-97,0.041904291
292,1.7778592085621879e-96,0.0420482919999999
293,5.918013862920836e-96,0.042192293
294,1.4601572229391157e-97,0.042336294
295,4.4766908547697794e-97,0.0424802949999999
296,3.085381237893051e-97,0.0426242959999999
297,1.6079551458466198e-97,0.042768297
298,5.672653105652868e-97,0.0429122979999999
299,1.9805747777848015e-97,0.0430562989999999
300,1.602761608364299e-97,0.0432003
301,8.152178641599169e-99,0.0433443009999999
302,2.452679258527593e-95,0.0434883019999999
303,1.3539027674468357e-95,0.043632303
304,1.4525749932791292e-95,0.043776304
305,2.136822482980869e-95,0.0439203049999999
306,1.1204863171175644e-94,0.044064306
307,4.447604405788978e-94,0.044208307
308,1.24374895635752e-93,0.0443523079999999
309,4.972831189203173e-93,0.044496309
310,2.1117879734260557e-93,0.04464031
311,3.72796835029297e-92,0.0447843109999999
312,1.1916683179782578e-92,0.044928312
313,2.21163004735086e-92,0.045072313
314,1.7656909114982758e-90,0.0452163139999999
315,2.613075638123921e-91,0.045360315
316,2.168183321402869e-90,0.045504316
317,6.986713519715897e-92,0.0456483169999999
318,1.5621748426651641e-89,0.045792318
319,3.96472220494406e-89,0.045936319
320,6.228566419415891e-90,0.0460803199999999
321,4.254636771830546e-88,0.0462243209999999
322,3.07392460100337e-88,0.046368322
323,1.6264781495268213e-87,0.0465123229999999
324,8.62988574045592e-88,0.0466563239999999
325,3.3164554374034786e-87,0.046800325
326,2.892608451112358e-87,0.0469443259999999
327,2.894665918158671e-87,0.0470883269999999
328,5.716141674410989e-87,0.047232328
329,9.309268059731996e-87,0.0473763289999999
330,1.793847853938454e-86,0.0475203299999999
331,1.9440444189304793e-86,0.047664331
332,4.332873200476899e-86,0.047808332
333,7.029383343106555e-86,0.0479523329999999
334,1.2653430855103165e-85,0.048096334
335,1.7398827869634933e-85,0.048240335
336,2.0062105803168416e-85,0.0483843359999999
337,2.175151613634606e-85,0.048528337
338,1.765921864338531e-85,0.048672338
339,1.447281835518088e-85,0.0488163389999999
340,1.2648720375353074e-85,0.04896034
341,6.772068104898164e-86,0.049104341
342,5.1342698748911206e-86,0.0492483419999999
343,3.3869556615653915e-86,0.049392343
344,1.0004609646241014e-86,0.049536344
345,5.762739171067321e-87,0.0496803449999999
346,2.6848235979291425e-87,0.049824346
347,3.3752598627913403e-88,0.049968347
348,1.8321916301945938e-88,0.0501123479999999
349,6.1345085616231034e-89,0.0502563489999999
350,4.4414048026372015e-89,0.05040035
351,5.159849905259318e-89,0.0505443509999999
352,4.8659309532780175e-89,0.0506883519999999
353,4.243622159105556e-89,0.050832353
354,4.055474160623476e-89,0.0509763539999999
355,3.920186699070449e-89,0.0511203549999999
356,3.9052196282760794e-89,0.051264356
357,3.244035835712399e-89,0.0514083569999999
358,2.9407039788433578e-89,0.0515523579999999
359,2.4937753346864622e-89,0.051696359
360,1.852066031864632e-89,0.05184036
361,1.4749344194182172e-89,0.0519843609999999
362,1.2722856239359178e-89,0.052128362
363,1.0217058517741667e-89,0.052272363
364,8.015202295451699e-90,0.0524163639999999
365,4.230099950269206e-90,0.052560365
366,2.528733551640603e-90,0.052704366
367,2.090548566591949e-90,0.0528483669999999
368,1.7721842268369414e-90,0.052992368
369,1.3716858418840974e-90,0.053136369
370,7.43061970082389e-91,0.0532803699999999
371,1.9824194773369532e-91,0.053424371
372,1.6265252451164555e-91,0.053568372
373,1.6117027181660497e-91,0.0537123729999999
374,1.3462695122338648e-91,0.0538563739999999
375,9.207086412461295e-92,0.054000375
376,2.6181970809591955e-92,0.0541443759999999
377,3.967214470649883e-93,0.0542883769999999
378,5.391291088449057e-93,0.054432378
379,5.767156837733982e-93,0.0545763789999999
380,4.782076766438074e-93,0.0547203799999999
381,3.143971548492273e-93,0.054864381
382,6.227475569902175e-94,0.0550083819999999
383,2.1864900057620672e-95,0.0551523829999999
384,4.9143864301257676e-95,0.055296384
385,6.829642282240214e-95,0.0554403849999999
386,6.210998021523187e-95,0.0555843859999999
387,3.13738167517701e-95,0.055728387
388,3.953519039206654e-96,0.055872388
389,1.847090318240154e-97,0.0560163889999999
390,1.8246692146207915e-97,0.05616039
391,9.826037823621676e-98,0.056304391
392,2.973691270200246e-100,0.0564483919999999
393,1.2638889409523482e-96,0.056592393
394,3.1502016813841527e-96,0.056736394
395,3.893736713640397e-96,0.0568803949999999
396,2.6741304393399915e-96,0.057024396
