,Et,time
0,0.0,0.0
1,5.205387517933071e-233,8.86161e-05
2,3.7085061700614925e-229,0.0001772322
3,2.383831429983407e-241,0.0002658483
4,5.270716536924626e-257,0.0003544644
5,1.4591203559163744e-241,0.0004430805
6,3.31585624534553e-233,0.0005316966
7,5.914973312503451e-230,0.0006203127
8,2.7841055521290366e-228,0.0007089288
9,9.898346860247795e-227,0.0007975448999999
10,6.477340211658939e-225,0.0008861609999999
11,6.918976682455127e-228,0.0009747771
12,2.234959538947366e-224,0.0010633932
13,9.860468232157013e-222,0.0011520093
14,1.5447277372379559e-232,0.0012406254
15,7.103331221079394e-221,0.0013292415
16,2.1312976083895974e-218,0.0014178576
17,5.1042807433351174e-231,0.0015064737
18,5.452408744973661e-226,0.0015950898
19,3.018964818417902e-218,0.0016837059
20,1.58371753159779e-216,0.001772322
21,1.9951815381190564e-215,0.0018609381
22,1.2374718659877584e-214,0.0019495542
23,1.4671347774656682e-213,0.0020381703
24,7.094099946405146e-213,0.0021267864
25,1.550379427892085e-212,0.0022154025
26,3.430995791865907e-212,0.0023040186
27,2.091450700754023e-211,0.0023926347
28,8.749782204948946e-211,0.0024812508
29,3.1551723559486246e-210,0.0025698669
30,1.7362543314517297e-209,0.002658483
31,1.1209762221401096e-208,0.0027470991
32,4.464138096568471e-208,0.0028357152
33,1.4441185072929514e-206,0.0029243313
34,4.169821554380013e-207,0.0030129474
35,3.6785034628692636e-206,0.0031015635
36,8.633636223867049e-205,0.0031901796
37,4.0072660090865925e-204,0.0032787957
38,1.0200230716623283e-204,0.0033674118
39,5.0485106079718496e-203,0.0034560279
40,1.9260224433014533e-203,0.003544644
41,4.0458269056544014e-204,0.0036332601
42,1.8986870102429818e-203,0.0037218762
43,4.4678239581944534e-204,0.0038104923
44,5.75903621885469e-204,0.0038991084
45,4.650770154708282e-204,0.0039877245
46,1.901544375143139e-204,0.0040763406
47,1.7337479086101523e-204,0.0041649567
48,1.5785622687767518e-204,0.0042535728
49,1.4488620733612213e-204,0.0043421889
50,1.347942253989493e-204,0.004430805
51,1.3798937435150114e-204,0.0045194211
52,1.642927282704765e-204,0.0046080372
53,2.9385327580096868e-204,0.0046966533
54,1.3525920312351819e-204,0.0047852694
55,2.257941235543395e-203,0.0048738855
56,4.0867503827399955e-203,0.0049625016
57,9.66298752329764e-204,0.0050511177
58,4.164557965083685e-203,0.0051397338
59,1.732902267775595e-202,0.0052283499
60,8.863685422206236e-202,0.005316966
61,3.0052982451864873e-201,0.0054055821
62,8.014308182048448e-201,0.0054941982
63,2.4457452114141667e-200,0.0055828143
64,7.37655749954756e-200,0.0056714304
65,1.3951758406541667e-199,0.0057600465
66,2.433076686996099e-199,0.0058486626
67,2.6400425870244044e-199,0.0059372787
68,6.612712587202706e-200,0.0060258948
69,7.835906288556923e-200,0.0061145109
70,1.0477836485320132e-199,0.006203127
71,1.1180363994821814e-200,0.0062917431
72,9.384687820716105e-201,0.0063803592
73,2.2583296733778277e-200,0.0064689753
74,5.539076964667895e-200,0.0065575914
75,1.8272682679194643e-199,0.0066462075
76,4.895260587535485e-199,0.0067348236
77,9.167934958695143e-199,0.0068234397
78,3.008518028621435e-198,0.0069120558
79,2.4114956464238897e-197,0.0070006719
80,2.0065397551518023e-195,0.007089288
81,1.9162099511571205e-197,0.0071779041
82,1.923065887103048e-197,0.0072665202
