,Et,time
0,0.0,0.0
1,3.443053196977711e-69,0.00091023
2,2.2648444664905575e-66,0.00182046
3,6.293236712530115e-63,0.00273069
4,6.2099525111757265e-61,0.00364092
5,7.172056658013921e-61,0.00455115
6,7.31078959034876e-60,0.00546138
7,9.173054342412156e-58,0.00637161
8,8.021923869594545e-57,0.00728184
9,8.365005931185573e-56,0.00819207
10,2.1973595865249266e-54,0.0091023
11,2.084159916368322e-53,0.01001253
12,1.1725866350455202e-54,0.01092276
13,1.4480083744540203e-53,0.01183299
14,1.698636001424005e-52,0.01274322
15,6.6262839788073305e-49,0.01365345
16,6.997987401870908e-49,0.01456368
17,7.117972993133223e-48,0.01547391
18,6.029787345139627e-47,0.01638414
19,6.53941244476229e-46,0.01729437
20,6.800046574965651e-45,0.0182046
21,1.6220143208745546e-43,0.01911483
22,2.0853320327198107e-42,0.02002506
23,1.609963028864619e-41,0.02093529
24,8.276022338296417e-41,0.02184552
25,3.474118053258691e-40,0.02275575
26,2.495348733395608e-42,0.02366598
27,5.704437118093147e-39,0.02457621
28,1.8757921198446138e-38,0.02548644
29,5.534080005669632e-38,0.02639667
30,8.864628959782121e-38,0.0273069
31,1.6019321236800544e-37,0.02821713
32,4.23004949190244e-37,0.02912736
33,2.399831404768062e-37,0.03003759
34,5.145698967336844e-37,0.03094782
35,4.260949051358304e-35,0.03185805
36,7.440826815243202e-35,0.03276828
37,2.095882247084928e-34,0.03367851
38,6.296235249255549e-34,0.03458874
39,3.751543637199882e-34,0.03549897
40,9.007444001910006e-34,0.0364092
41,1.357644323559864e-32,0.03731943
42,4.0560387991247406e-32,0.03822966
43,1.3685719621009098e-31,0.03913989
44,4.750836462037081e-31,0.04005012
45,1.836063748956614e-30,0.04096035
46,6.927064328510678e-30,0.04187058
47,2.781338389854518e-29,0.04278081
48,1.0976151718327072e-28,0.04369104
49,4.254931520486514e-28,0.04460127
50,1.6168051657382983e-27,0.0455115
51,6.019239051696935e-27,0.04642173
52,2.194384460935228e-26,0.04733196
53,7.833916349683812e-26,0.04824219
54,2.7389306196664534e-25,0.04915242
55,9.380017054166091e-25,0.05006265
56,3.147495109937759e-24,0.05097288
57,1.0351301054311806e-23,0.05188311
58,3.337611814255469e-23,0.05279334
59,1.0554371309562172e-22,0.05370357
60,3.2743821444339924e-22,0.0546138
61,9.969420790661045e-22,0.05552403
62,2.9798500550268898e-21,0.05643426
63,8.746615359521298e-21,0.05734449
64,2.5219740084622336e-20,0.05825472
65,7.145399810525448e-20,0.05916495
66,1.9898703737403391e-19,0.06007518
67,5.448274530701527e-19,0.06098541
68,1.4670654062323048e-18,0.06189564
69,3.886095283266554e-18,0.06280587
70,1.012896346329023e-17,0.0637161
71,2.5984558160388113e-17,0.06462633
72,6.562553058693133e-17,0.06553656
73,1.6320867144092713e-16,0.06644679
74,3.997882688835801e-16,0.06735702
75,9.647950019805187e-16,0.06826725
76,2.294337105884049e-15,0.06917748
77,5.377673328423688e-15,0.07008771
78,1.2426302464355282e-14,0.07099794
79,2.831354374990967e-14,0.07190817
80,6.362743463229664e-14,0.0728184
81,1.4105361298691288e-13,0.07372863
82,3.0853532037459084e-13,0.07463886
83,6.660355271488672e-13,0.07554909
84,1.4192294434534712e-12,0.07645932
85,2.9858057894222064e-12,0.07736955
86,6.203198186930371e-12,0.07827978
87,1.2729372592317822e-11,0.07919001
88,2.5806458706476343e-11,0.08010024
89,5.169791806210949e-11,0.08101047
90,1.0236054144090233e-10,0.0819207
91,2.0035064899884393e-10,0.08283093
92,3.8770728084469045e-10,0.08374116
93,7.417508183572306e-10,0.08465139
94,1.4025240913423794e-09,0.08556162
95,2.6192591687159805e-09,0.08647185
96,4.828410210069531e-09,0.08738208
97,8.785739833960234e-09,0.08829231
98,1.5786943086995603e-08,0.08920254
99,2.8029079981284398e-08,0.09011277
100,4.9196273650300754e-08,0.091023
101,8.539551779426535e-08,0.09193323
102,1.4663711896498048e-07,0.09284346
103,2.491469819588743e-07,0.09375369
104,4.1893300967408054e-07,0.09466392
105,6.972315926545854e-07,0.09557415
106,1.1487142842385057e-06,0.09648438
107,1.8737114407428527e-06,0.09739461
108,3.02621571137489e-06,0.09830484
109,4.840079972632514e-06,0.09921507
110,7.666685824987481e-06,0.1001253
111,1.2028496275387353e-05,0.10103553
112,1.869431314868754e-05,0.10194576
113,2.878384165983955e-05,0.10285599
114,4.391154889439721e-05,0.10376622
115,6.638187999507929e-05,0.10467645
116,9.945138304364837e-05,0.10558668
117,0.00014767601470781823,0.10649691
118,0.00021736616434511025,0.10740714
119,0.0003171761466032182,0.10831737
120,0.00045885743881806914,0.1092276
121,0.0006582114664809147,0.11013783
122,0.0009362785655507309,0.11104806
123,0.0013208007529424443,0.11195829
124,0.0018479996556013403,0.11286852
125,0.00256471066024348,0.11377875
126,0.003530898769789964,0.11468898
127,0.004822587009721372,0.11559921
128,0.006535241360372489,0.11650944
129,0.00878756185743479,0.11741967
130,0.01172568166160199,0.1183299
131,0.015527684762731033,0.11924013
132,0.020408443259668015,0.12015036
133,0.02662482835694566,0.12106059
134,0.03448064872984598,0.12197082
135,0.04433176445040867,0.12288105
136,0.05659059115522746,0.12379128
137,0.07173015035862819,0.12470151
138,0.09028696070566548,0.12561174
139,0.11286276078804257,0.12652197
140,0.14012435996484404,0.1274322
141,0.17280176848763498,0.12834243
142,0.211684149882667,0.12925266
143,0.2576132599355108,0.13016289
144,0.3114741547144128,0.13107312
145,0.3741830433547565,0.13198335
146,0.4466722603211276,0.13289358
147,0.529872446118124,0.13380381
148,0.6246921581891389,0.13471404
149,0.7319952574879974,0.13562427
150,0.8525765553763335,0.1365345
151,0.9871363401157949,0.13744473
152,1.1362545197614886,0.13835496
153,1.3003652006165474,0.13926519
154,1.4797325887193344,0.14017542
155,1.674429138165958,0.14108565
156,1.8843168083749162,0.14199588
157,2.109032288524109,0.14290611
158,2.347976922552871,0.14381634
159,2.600311961997407,0.14472657
160,2.8649593862245806,0.1456368
161,3.140608473156455,0.14654703
162,3.4257273038102456,0.14745726
163,3.7185786506575256,0.14836749
164,4.017239955691639,0.14927772
165,4.319623960259385,0.15018795
166,4.6235067170550295,0.15109818
167,4.9265718316010245,0.15200841
168,5.226502392120124,0.15291864
169,5.5211556594190485,0.15382887
170,5.808626106284235,0.1547391
171,6.086597702280741,0.15564933
172,6.353019690280698,0.15655956
173,6.606286028027531,0.15746979
174,6.845168583524164,0.15838002
175,7.06844902551432,0.15929025
176,7.274826682134515,0.16020048
177,7.463357327948321,0.16111071
178,7.633563673156566,0.16202094
179,7.785117560537775,0.16293117
180,7.917494406834097,0.1638414
181,8.030702048777123,0.16475163
182,8.125151094605648,0.16566186
183,8.201501219508366,0.16657209
184,8.260296047423289,0.16748232
185,8.302052810456917,0.16839255
186,8.327450650021643,0.16930278
187,8.337490404485788,0.17021301
188,8.333547028397657,0.17112324
189,8.317087198852487,0.17203347
190,8.289050815240103,0.1729437
191,8.250098991342519,0.17385393
192,8.201097140510859,0.17476416
193,8.143294478137284,0.17567439
194,8.07805004825022,0.17658462
195,8.006597119368621,0.17749485
196,7.930042178597606,0.17840508
197,7.8491929277767145,0.17931531
198,7.764602055304812,0.18022554
199,7.676704550416598,0.18113577
200,7.586055926129441,0.182046
201,7.493204054379992,0.18295623
202,7.3988315583024065,0.18386646
203,7.3037110043409905,0.18477669
204,7.208751019157575,0.18568692
205,7.114412978375794,0.18659715
206,7.020684461954121,0.18750738
207,6.92736630671149,0.18841761
208,6.834304801517638,0.18932784
209,6.741641140959207,0.19023807
210,6.6496127915908065,0.1911483
211,6.558473583807279,0.19205853
212,6.468534319053426,0.19296876
213,6.37997663991255,0.19387899
214,6.29306790385463,0.19478922
215,6.207907488299112,0.19569945
216,6.124448034296826,0.19660968
217,6.042601532751942,0.19751991
218,5.962083564572031,0.19843014
219,5.882575832030146,0.19934037
220,5.803889118269558,0.2002506
221,5.726102828114213,0.20116083
222,5.649345009547806,0.20207106
223,5.573701901682652,0.20298129
224,5.49938548877075,0.20389152
225,5.426540659357305,0.20480175
226,5.3554026373557235,0.20571198
227,5.2860241397201815,0.20662221
228,5.218206346730168,0.20753244
229,5.151473034511497,0.20844267
230,5.085611424077211,0.2093529
231,5.020597590932291,0.21026313
232,4.956321932845215,0.21117336
233,4.892748626758401,0.21208359
234,4.829936367294859,0.21299382
235,4.767945685332828,0.21390405
236,4.706737215016204,0.21481428
237,4.646502992230536,0.21572451
238,4.587320022326114,0.21663474
239,4.529229787881305,0.21754497
240,4.472412298127946,0.2184552
241,4.417076066458697,0.21936543
242,4.363174776546697,0.22027566
243,4.310562848737682,0.22118589
244,4.25901247418147,0.22209612
245,4.2082219353474395,0.22300635
246,4.15786043491645,0.22391658
247,4.107853885647254,0.22482681
248,4.05826996533898,0.22573704
249,4.0091387171019415,0.22664727
250,3.960644903869242,0.2275575
251,3.9129572088831392,0.22846773
252,3.8659793119871897,0.22937796
253,3.819777293163486,0.23028819
254,3.7742241924233433,0.23119842
255,3.7293091235354794,0.23210865
256,3.685211566136691,0.23301888
257,3.641973140347275,0.23392911
258,3.5995465961330653,0.23483934
259,3.5581365807710137,0.23574957
260,3.5178272074529513,0.2366598
261,3.4784700112876963,0.23757003
262,3.439786611568395,0.23848026
263,3.4016704800080197,0.23939049
264,3.3639083561050502,0.24030072
265,3.326408492088703,0.24121095
266,3.2891466680872967,0.24212118
267,3.2521461531646945,0.24303141
268,3.2155637928542236,0.24394164
269,3.1794695068436547,0.24485187
270,3.1440515024848668,0.2457621
271,3.1094168653588654,0.24667233
272,3.0755269078415344,0.24758256
273,3.042332655800622,0.24849279
274,3.009765967317601,0.24940302
275,2.9778154155878185,0.25031325
276,2.946496702249212,0.25122348
277,2.915677774779341,0.25213371
278,2.885388474206409,0.25304394
279,2.8556578571957636,0.25395417
280,2.826397221640684,0.2548644
281,2.7975864316907817,0.25577463
282,2.769353978948397,0.25668486
283,2.7416802263088447,0.25759509
284,2.714426104877998,0.25850532
285,2.6873396336692923,0.2594155500000001
286,2.660274476552959,0.26032578
287,2.633188948916538,0.26123601
288,2.606008752175494,0.26214624
289,2.578796485873351,0.26305647
290,2.55168077394252,0.2639667
291,2.524741718983883,0.26487693
292,2.498154865462026,0.26578716
293,2.472042609901014,0.26669739
294,2.446359768110038,0.26760762
295,2.421046544623227,0.26851785
296,2.396161688191006,0.26942808
297,2.3717070107806815,0.27033831
298,2.3478683537076344,0.27124854
299,2.3247937522787643,0.27215877
300,2.3025449324033485,0.273069
301,2.2811293090560625,0.27397923
302,2.260480901133999,0.27488946
303,2.240512467610934,0.27579969
304,2.2211352426229634,0.27670992
305,2.2022752286301266,0.27762015
306,2.1838401349917054,0.27853038
307,2.165761031855245,0.27944061
308,2.1479963941524667,0.28035084
309,2.1304895333937575,0.28126107
310,2.113157311124002,0.2821713
311,2.096019654762972,0.28308153
312,2.0790625066780923,0.28399176
313,2.0622572299771487,0.28490199
314,2.045538831302088,0.28581222
315,2.0287710220984803,0.28672245
316,2.0118585575436976,0.28763268
317,1.994731136110873,0.28854291
318,1.9773213531637057,0.2894531400000001
319,1.9596160807887015,0.29036337
320,1.9416042050498226,0.2912736
321,1.9233225650082946,0.29218383
322,1.9048422577760564,0.29309406
323,1.8863088769774672,0.29400429
324,1.867870244793294,0.29491452
325,1.8496317037004932,0.29582475
326,1.8316512146611292,0.29673498
327,1.8139711733593706,0.29764521
328,1.7966640931175637,0.29855544
329,1.7796997560985683,0.29946567
330,1.7630116105539257,0.3003759
331,1.7466128688348,0.30128613
332,1.730561127177197,0.3021963600000001
333,1.7149058879413994,0.30310659
334,1.69968425769355,0.30401682
335,1.684958241831625,0.30492705
336,1.6707346482191312,0.30583728
337,1.6570669783332783,0.30674751
338,1.6439887028657594,0.30765774
339,1.6314628770490975,0.30856797
340,1.6194865513054941,0.3094782
341,1.6080404100666863,0.31038843
342,1.5970649516950661,0.31129866
343,1.5865103743149533,0.31220889
344,1.576372866521209,0.31311912
345,1.5666050510992826,0.31402935
346,1.5571356470318491,0.3149395800000001
347,1.547848092950353,0.31584981
348,1.5386685287187856,0.31676004
349,1.5295544710147984,0.31767027
350,1.520478784106764,0.3185805
351,1.5114182142052008,0.31949073
352,1.5023303196172395,0.32040096
353,1.4931997732742273,0.32131119
354,1.4839696868305812,0.32222142
355,1.4745964250480648,0.32313165
356,1.4650610619385211,0.32404188
357,1.4552956081776034,0.32495211
358,1.4452432319450028,0.32586234
359,1.434882154369555,0.32677257
360,1.4242135655257462,0.3276828000000001
361,1.413256513376729,0.32859303
362,1.4020302366632607,0.32950326
363,1.3905563019242386,0.33041349
364,1.378874628008635,0.33132372
365,1.3670513238496862,0.3322339500000001
366,1.3551365793053403,0.33314418
367,1.3431714871097413,0.33405441
368,1.3311957868257471,0.33496464
369,1.319223552436527,0.33587487
370,1.3072649040467792,0.3367851
371,1.2953628373905495,0.33769533
372,1.2835654578862485,0.33860556
373,1.2718830335233953,0.33951579
374,1.2603342827625985,0.3404260200000001
375,1.2489374073383648,0.34133625
376,1.237698999457939,0.34224648
377,1.22658058697516,0.34315671
378,1.2155466889755335,0.34406694
379,1.204575026675236,0.3449771700000001
380,1.1936895020211375,0.3458874
381,1.1828990541631237,0.34679763
382,1.1722608502867407,0.34770786
383,1.1618651547840653,0.34861809
384,1.151770589236127,0.34952832
385,1.142004672211419,0.35043855
386,1.1325868904338465,0.35134878
387,1.1235071655002582,0.35225901
388,1.1147730875072235,0.3531692400000001
389,1.106394568993661,0.35407947
390,1.0983608074536106,0.3549897
391,1.0906640054175318,0.35589993
392,1.0833099671674191,0.35681016
393,1.076294813826725,0.3577203900000001
394,1.0695982827850103,0.35863062
395,1.0632111745548927,0.35954085
396,1.0571252245350076,0.36045108
397,1.0513170213024179,0.36136131
398,1.0457525407983694,0.36227154
399,1.0403999384351206,0.36318177
400,1.0352015717882292,0.364092
401,1.0301263611437768,0.36500223
402,1.0251454216705669,0.3659124600000001
403,1.020241126509893,0.36682269
404,1.0153958316175031,0.36773292
405,1.0105892843983388,0.36864315
406,1.0057987150242247,0.36955338
407,1.0010046679645803,0.3704636100000001
408,0.9961622279830372,0.37137384
409,0.9912741387655866,0.37228407
410,0.9863446384088638,0.3731943
