,Et,time
0,0.0,0.0
1,3.125334787179162e-249,9.60008e-05
2,1.6013246937715727e-241,0.0001920016
3,1.9548707684435515e-263,0.0002880024
4,5.169579462423794e-257,0.0003840032
5,4.992817723346165e-264,0.000480004
6,4.9961854678714084e-238,0.0005760048
7,4.5735774415893375e-247,0.0006720056
8,4.78348133219349e-248,0.0007680064
9,6.20200682349775e-228,0.0008640072
10,6.313590776748996e-245,0.000960008
11,4.75714475051783e-251,0.0010560088
12,4.675773374713351e-222,0.0011520096
13,2.2430455391134503e-225,0.0012480104
14,2.5254014350068645e-221,0.0013440112
15,1.5447514882095203e-227,0.001440012
16,2.151201690259791e-230,0.0015360128
17,7.084824318312222e-232,0.0016320136
18,3.5277706637517613e-221,0.0017280144
19,1.1577013971295698e-230,0.0018240152
20,1.6812520799047988e-210,0.001920016
21,1.80130593856577e-208,0.0020160168
22,5.517199550221354e-208,0.0021120176
23,2.054890836285537e-208,0.0022080184
24,4.362345255238431e-206,0.0023040192
25,6.402330687004244e-206,0.00240002
26,1.1880675139817104e-205,0.0024960208
27,4.498313250965202e-221,0.0025920216
28,1.1443173601865912e-210,0.0026880224
29,2.489332564045377e-220,0.0027840232
30,6.465355313587767e-210,0.002880024
31,1.6788279257098138e-225,0.0029760248
32,2.2968686572222296e-221,0.0030720256
33,1.7400345331072802e-217,0.0031680264
34,1.6308869750786388e-219,0.0032640272
35,3.083999307150897e-216,0.003360028
36,2.412176414659536e-199,0.0034560288
37,2.900678257898931e-199,0.0035520296
38,2.1205295119298785e-211,0.0036480304
39,1.8251270544915677e-213,0.0037440312
40,4.554596785865e-213,0.003840032
41,4.4901145233485816e-206,0.0039360328
42,9.026643945226523e-205,0.0040320336
43,4.619715699059407e-204,0.0041280344
44,1.6614425466839403e-203,0.0042240352
45,3.592435168776385e-203,0.004320036
46,3.377422850574799e-203,0.0044160368
47,1.7546879351906267e-204,0.0045120376
48,1.197049883777272e-193,0.0046080384
49,1.202328574706762e-197,0.0047040392
50,7.851351465800255e-199,0.00480004
51,7.24070407499546e-201,0.0048960408
52,5.953018303986251e-201,0.0049920416
53,3.098077706143801e-201,0.0050880424
54,5.293562267383343e-202,0.0051840432
55,2.6191974104475117e-202,0.005280044
56,1.2005217647374698e-204,0.0053760448
57,2.9137620851647665e-207,0.0054720456
58,1.204009966137556e-208,0.0055680464
59,1.773038060196435e-204,0.0056640472
60,2.4876321521730155e-201,0.005760048
61,3.6775132759710092e-208,0.0058560488
62,6.623089956705401e-208,0.0059520496
63,1.4276383530583548e-207,0.0060480504
64,1.5481754437587409e-193,0.0061440512
65,5.571797252736733e-193,0.006240052
66,2.907524752791477e-193,0.0063360528
67,2.622230178025719e-205,0.0064320536
68,2.9111737108350274e-205,0.0065280544
69,4.0235083605220523e-187,0.0066240552
70,1.5357626025928536e-193,0.006720056
71,1.6066646291576686e-197,0.0068160568
72,5.761422305193059e-197,0.0069120576
73,1.5188502486694165e-196,0.0070080584
74,7.690241598678342e-194,0.0071040592
75,1.4502926050069064e-193,0.00720006
76,2.242409490210271e-193,0.0072960608
77,2.688871475889511e-193,0.0073920616
78,2.4245752001837194e-193,0.0074880624
79,2.362396072190671e-193,0.0075840632
80,1.1911607087623907e-200,0.007680064
81,2.447260975880499e-200,0.0077760648
82,4.917758024088227e-200,0.0078720656
83,9.663646627122533e-200,0.0079680664
84,1.8638735980017094e-199,0.0080640672
85,3.550696915198249e-199,0.0081600679999999
86,6.6883793380953945e-199,0.0082560687999999
87,1.0495770343126142e-192,0.0083520696
88,2.1947938385915535e-192,0.0084480704
89,3.0098587092931676e-175,0.0085440712
90,2.5382046729843367e-173,0.0086400719999999
91,1.2066759541240167e-175,0.0087360728
92,5.021605944806366e-177,0.0088320736
93,1.0030459389531968e-191,0.0089280744
94,1.3642643696040605e-186,0.0090240751999999
95,9.559906353921135e-171,0.009120076
96,7.083943617059425e-168,0.0092160768
97,5.5737370323189185e-168,0.0093120776
98,4.37842941444498e-168,0.0094080783999999
99,3.4487502316334213e-168,0.0095040792
100,2.7546904706238764e-168,0.00960008
101,2.2110769644334195e-168,0.0096960808
102,1.830852477224941e-168,0.0097920815999999
103,1.5007687459873045e-168,0.0098880824
104,1.2203743918838647e-168,0.0099840832
105,1.0092102822803389e-168,0.010080084
106,8.614052612795204e-169,0.0101760848
107,7.280592687055951e-169,0.0102720856
108,6.102540070786809e-169,0.0103680864
109,5.013202482303156e-169,0.0104640872
110,3.985816004928127e-169,0.010560088
111,3.11090905287667e-169,0.0106560888
112,2.5971792910429404e-169,0.0107520896
113,2.1265546701173397e-169,0.0108480904
114,1.0530265833711522e-165,0.0109440912
115,1.7786834038478463e-165,0.011040092
116,1.5196918672013204e-164,0.0111360928
117,2.074644137389296e-164,0.0112320936
118,1.599950706892659e-165,0.0113280944
119,1.2107723871099992e-165,0.0114240952
120,2.2555519528341494e-163,0.011520096
121,7.858052462496457e-162,0.0116160968
122,3.02035614901312e-162,0.0117120976
123,1.7100621255584559e-161,0.0118080984
124,1.453682344466294e-160,0.0119040992
125,1.4472111247357085e-160,0.0120001
126,1.2466417080296164e-161,0.0120961008
127,9.976719110218786e-162,0.0121921016
128,1.5169185905422247e-159,0.0122881024
129,1.106551528845389e-158,0.0123841032
130,1.4897971054032134e-158,0.012480104
131,1.3100022292834436e-158,0.0125761048
132,6.297807573511139e-161,0.0126721056
133,1.9150544889794e-163,0.0127681064
134,2.9178727828476303e-163,0.0128641072
135,4.860619885396362e-163,0.012960108
136,2.1871305814076288e-162,0.0130561088
137,8.528656505484515e-161,0.0131521096
138,1.15631363443421e-157,0.0132481104
139,1.404098063132917e-156,0.0133441112
140,6.479850387599387e-156,0.013440112
141,2.0314363605304165e-154,0.0135361128
142,1.1939210567535866e-150,0.0136321136
143,5.32968023629192e-150,0.0137281144
144,3.5893360402776585e-168,0.0138241152
145,7.817600297682639e-170,0.013920116
146,2.7596815091592007e-171,0.0140161168
147,5.030951381633516e-172,0.0141121176
148,4.056358275381797e-174,0.0142081184
149,4.109675162800354e-175,0.0143041192
150,3.360112222303325e-175,0.01440012
151,4.737929280709389e-180,0.0144961208
152,4.502303038394558e-180,0.0145921216
153,4.3321095416594825e-180,0.0146881224
154,3.6464368287337626e-180,0.0147841232
155,2.3893852309409294e-181,0.014880124
156,2.41426728701551e-184,0.0149761248
157,2.6302217838628777e-184,0.0150721256
158,2.880383620335699e-184,0.0151681264
159,3.1614241819145953e-184,0.0152641272
160,3.423978770448935e-184,0.015360128
161,3.6728404637755575e-184,0.0154561288
162,3.9078298262250387e-184,0.0155521296
163,4.12647632543724e-184,0.0156481304
164,4.522484582556515e-183,0.0157441312
165,6.164333912100943e-181,0.015840132
166,2.165104419495444e-177,0.0159361328
167,4.800985946620106e-184,0.0160321336
168,4.901214740441691e-184,0.0161281344
169,4.961663948811069e-184,0.0162241352
170,4.975174761757914e-184,0.016320136
171,4.975278452692668e-184,0.0164161368
172,4.844605463998328e-184,0.0165121376
173,4.6739855047227517e-184,0.0166081384
174,4.312339801340069e-184,0.0167041392
175,3.660732206923937e-180,0.01680014
176,1.6027590451690246e-182,0.0168961408
177,1.5798055862530678e-182,0.0169921416
178,1.346773968467265e-181,0.0170881424
179,1.9207705001936546e-180,0.0171841432
180,2.1383739742897377e-180,0.017280144
181,3.313738679049477e-180,0.0173761448
182,2.9572888784755656e-180,0.0174721456
183,1.744068753929615e-180,0.0175681464
184,1.014758551660564e-179,0.0176641472
185,1.4504659353944384e-182,0.017760148
186,1.4472658387265044e-182,0.0178561488
187,1.4493393032773248e-182,0.0179521496
188,1.4560345693616865e-182,0.0180481504
189,1.4671652867545762e-182,0.0181441512
190,1.4825482058011034e-182,0.018240152
191,1.5020026358141349e-182,0.0183361528
192,1.5253501730583213e-182,0.0184321536
193,1.5524147045101092e-182,0.0185281544
194,1.5830235473695544e-182,0.0186241552
195,1.6169560566790558e-182,0.018720156
196,1.6540410654483805e-182,0.0188161568
197,1.6941109543576515e-182,0.0189121576
198,1.7370028521096875e-182,0.0190081584
199,1.7825535707609153e-182,0.0191041592
200,1.830601347276172e-182,0.01920016
201,1.880994385269435e-182,0.0192961608
202,1.9336383771274253e-182,0.0193921616
203,1.9884612792916424e-182,0.0194881624
204,2.0457827564652574e-182,0.0195841632
205,2.1045438179650313e-182,0.019680164
206,1.5348845179194112e-170,0.0197761648
207,2.644505474667905e-170,0.0198721656
208,0.0,0.0199681664
209,0.0,0.0200641672
210,0.0,0.020160168
211,0.0,0.0202561688
212,0.0,0.0203521696
