CASE_NUM,Pe1,Pe2,tau1,tau2,RAE
1,0.35183981383646057,62.10454337453886,0.7775512143676614,0.10479888094140023,0.12203536528295071
2,0.35215033108398863,61.354498718024324,0.7555101584039015,0.11194016484999757,0.13002218201121465
3,0.35242529824830077,60.61008342896848,0.7325678083511237,0.1201207151710968,0.1391509915771458
4,0.35264115447394206,59.87680368688999,0.7084805444037701,0.1295833381480627,0.14969040162324604
5,0.35282632114900053,59.17012726803253,0.6832372956680142,0.14065028948617012,0.16200688165893293
6,0.35298406138007693,58.49286052173213,0.6565303815730635,0.15376747981578714,0.1765890269078612
7,0.3530783114218403,57.86027319359032,0.6282635026811155,0.16955434615900175,0.19414650786339246
8,0.353190784939654,57.286235155605674,0.5981972856940576,0.1889100873094973,0.21570303287544187
9,0.3533915120774541,56.788851456556145,0.5662543055786553,0.21318149348662166,0.24282575187384556
10,0.35366751539389807,56.39476632122861,0.5319125917934235,0.24449905772029137,0.2780176042108967
11,0.38457435310229077,7.642757794030536e-05,56.162130514753215,1597.914414375741,0.28652589681114526
12,0.3541824510096541,0.45711031402328095,55.95477283175086,0.392905651589605,0.34521102862226477
13,0.3542987859614119,0.4173041711420447,55.91992598574216,0.4959151911200559,0.4337005642750326
14,0.3781327117757463,7.73671247800001e-05,56.0801703826155,2858.943640307436,0.581578108541126
15,0.3754763572037876,7.809710457297206e-05,56.27933497801132,4065.6682540713578,0.8778111068464258
16,0.3510478729674203,62.35397353983756,0.8047791789140079,0.10460600738307355,0.12223835870566965
17,0.3513896119156679,61.58853307490539,0.7815923939235253,0.11173736689487722,0.13021217200658147
18,0.35168347243942166,60.829136196175774,0.7573476297735823,0.11990706879873755,0.13932342112842316
19,0.35194133201893846,60.083250489663655,0.7319331919165459,0.12935734027907567,0.1498398036380461
20,0.35215758087278004,59.35768326253323,0.7052906813045936,0.14041262197896967,0.16211978615117145
21,0.3523289467509407,58.66792008854325,0.6771013540605527,0.1535147543892769,0.17665913204762235
22,0.3524884753879433,58.023852209531974,0.6472484344893124,0.16928522559329595,0.19415257611594955
23,0.3526001648708054,57.44002646969701,0.6156310707167116,0.18862131776553312,0.21562722071303028
24,0.3527285948943822,56.935620826656645,0.5822198813871637,0.21287078910524973,0.24263261169419995
25,0.3530383676712183,56.533039439889045,0.5460228103379922,0.2441680303854387,0.27765429555276977
26,0.38464069244352744,7.48891591737702e-05,56.29028926352674,1643.938153901414,0.28617501808987134
27,0.3536315888057112,0.46798753744326876,56.07694708644575,0.39195364692747675,0.3448180515492093
28,0.3537838505929185,0.4267906403132393,56.0345991818893,0.4943821043367114,0.43324620879085257
