CASE_NUM,Pe1,Pe2,tau1,tau2,RAE
227,0.2962059096055293,36.33452847840822,8.41648400003559e-05,0.12857410017331697,101.5573951727965
228,0.30226822491948013,36.25654282089729,8.405701758271705e-05,0.1363664108561959,120.5587566674273
229,0.30819495702404837,36.16837668114416,8.405521008645349e-05,0.14537721705461734,143.44441934051446
230,0.31468486097029585,36.109130192575755,8.39272800875267e-05,0.15572722470278413,173.54222283934024
231,0.32167301407321,36.07471156070972,8.287211967748984e-05,0.16778863841182526,215.76137945610162
232,0.3293403442725502,36.0885376489144,8.197051193191732e-05,0.18197638653952053,273.685688031379
233,0.33783075513977806,36.182472517953,8.223564483502949e-05,0.1989038150645313,351.88413258412254
234,0.3471583741410297,36.3609205617054,8.238569907188305e-05,0.21958028775434624,466.8067274281841
235,0.35795063138708555,36.72614158310474,8.148882846774616e-05,0.2452600034291629,656.0804423798738
236,0.3707828450553732,37.43835303554939,8.044772529266356e-05,0.2779428391077015,981.029238558812
237,0.3865740348170168,7.823985060385459e-05,39.08212307579737,1644.9685130448843,0.31988761015493233
238,0.2492950702974939,1.7940175062035664,49.966946680163666,0.513766302206326,0.3322720616314318
239,0.1920259308463383,168.0382032335384,31.550375714214514,0.2730809967901081,0.38916831024580095
240,0.42118821265200496,1.355034322117752e-06,93.7739996137689,1.3119461820540476e-09,0.5458967370990848
241,0.3009713336907088,37.10885639563932,8.428702430839784e-05,0.11941651647205422,107.42792626611251
242,0.30515763208052443,36.985342061252915,8.241324898996997e-05,0.12644611043095005,126.03879428464536
243,0.3098959373930081,36.87808412938885,8.324633274247369e-05,0.13434421378909592,145.11702873610312
244,0.31505513360825776,36.77331408655179,8.397193314635111e-05,0.14335628687052324,169.22828913612122
245,0.3211136882519647,36.71390843797577,8.376240315340731e-05,0.15361636607634777,203.81911924001622
246,0.32718021586945706,36.607475182317174,8.33116204425703e-05,0.1657477545846515,247.63133125789307
247,0.33365609960423753,36.48655971153404,8.313238426223538e-05,0.18015382495002769,304.5660663680897
248,0.3409035302411239,36.39216126608121,8.276747575061164e-05,0.1974228294292954,384.6859059506825
249,0.3492350277257515,36.360517543766875,8.080430744773858e-05,0.21848384112673397,511.29610353754475
250,0.35914623207640867,36.445850452101844,8.166637945358859e-05,0.24475005982266473,684.1119945896588
251,0.37130499825443464,36.77796507245867,8.053349921542786e-05,0.27838502794198294,991.3093002276067
252,0.3867216878768902,7.818899014686217e-05,37.81523815503475,1598.1207062753458,0.32227274569266706
253,0.3115609650757609,1.091182419762226,45.64167674979785,0.5203726717975766,0.3543156434902591
254,0.1896375037584578,28.521886817881082,140.89084263423422,0.40277491232218654,0.27912931072810493
255,0.17864451497197922,21.78121165776011,145.8821971459832,0.7414873778178119,0.49882653176189634
256,0.3049120412951675,37.49896093748585,8.421105869921016e-05,0.1184041981304122,118.6086651133668
257,0.30898905986960623,37.38448122573941,8.272356296534951e-05,0.12538347524059956,138.24121379156287
258,0.31329760366170445,37.25496686773169,8.340690503817924e-05,0.1333135583777494,158.22351848035476
259,0.3180617085562585,37.124320384826625,8.312686972542615e-05,0.14235230366191015,185.32704788700642
260,0.3233183573534747,36.986483548670876,8.333295897843531e-05,0.15277930070420964,218.6751284457531
261,0.3291340244821392,36.85024889907577,8.279930679331008e-05,0.16492579562311607,264.40938259749225
262,0.3354859692327989,36.70891571302309,8.194577759699313e-05,0.17930685773811755,326.6861587519969
263,0.3426541831913521,36.592151756250225,8.185745300546609e-05,0.19653484210101937,409.8865931067101
264,0.350843831501789,36.520881600729446,8.151753884507927e-05,0.21759683710639754,531.2495560675799
265,0.36049281493410534,36.526700711163,7.977173904483591e-05,0.24398954812535723,727.2565311678261
266,0.3724514300147266,36.76002292229174,8.03926917703914e-05,0.27780058509051964,1021.028466742839
267,0.38766605393980846,7.758028778265884e-05,37.66502137300499,1636.0044065330217,0.3219881212698258
268,0.3361875476490981,0.8717080343169359,44.01232465179868,0.5197075190549257,0.36198696225930144
269,,0.0,0.0,0.0,0.0
270,0.17760764912224578,21.70716037469322,145.6946576711194,0.7333799465637676,0.49497625103711085
