,mass_fraction,time
0,0.0,0.0
1,1.481129937895359e-72,0.001365345
2,3.645430131127254e-70,0.00273069
3,4.4207407111403444e-67,0.004096035
4,7.670014653270038e-66,0.00546138
5,5.465888026697724e-64,0.006826725
6,7.948334323759212e-63,0.00819207
7,9.81392204115215e-62,0.009557415
8,1.0167684135526461e-60,0.01092276
9,1.048721085893776e-59,0.012288105
10,1.740714790396787e-58,0.01365345
11,2.7705985011903784e-57,0.015018795
12,1.262792391364241e-56,0.01638414
13,1.233192687351841e-55,0.017749485
14,6.762720578937945e-54,0.01911483
15,8.927156800811714e-54,0.020480175
16,8.253180625255196e-53,0.02184552
17,7.361029052928912e-52,0.023210865
18,8.100064303632757e-51,0.02457621
19,9.550420991124632e-50,0.025941555
20,8.062272414396302e-49,0.0273069
21,5.2005806414656396e-48,0.028672245
22,2.44851412831175e-47,0.03003759
23,9.205870790479695e-47,0.031402935
24,4.037588606413897e-46,0.03276828
25,2.1168077267701712e-45,0.0341336249999999
26,4.03996537383692e-44,0.03549897
27,5.932952334136548e-43,0.0368643149999999
28,4.321773574868404e-42,0.03822966
29,2.328358067618216e-41,0.039595005
30,1.030356797049252e-40,0.04096035
31,3.954354602567131e-40,0.042325695
32,1.4733264909180238e-39,0.04369104
33,2.6754681620412608e-39,0.045056385
34,3.973645147483493e-40,0.0464217299999999
35,3.353959659835516e-38,0.047787075
36,1.224760725605331e-37,0.04915242
37,1.940832146029272e-37,0.050517765
38,3.610436514035101e-39,0.05188311
39,7.057139362728305e-39,0.053248455
40,1.557891395806216e-38,0.0546138
41,9.061199481937372e-36,0.055979145
42,1.832694655686281e-35,0.05734449
43,4.636108704434637e-35,0.0587098349999999
44,1.250407788441688e-34,0.06007518
45,3.8860648594064745e-34,0.061440525
46,1.36067128497161e-33,0.06280587
47,5.247492036025517e-33,0.064171215
48,2.0393736689282458e-32,0.06553656
49,7.909407740116604e-32,0.066901905
50,3.038979027079171e-31,0.06826725
51,1.149685604023043e-30,0.069632595
52,4.266675386515361e-30,0.07099794
53,1.5516269519183458e-29,0.072363285
54,5.527031434959382e-29,0.07372863
55,1.928422668918696e-28,0.075093975
56,6.591466487563658e-28,0.07645932
57,2.207837206909024e-27,0.077824665
58,7.249261679626587e-27,0.07919001
59,2.334033648663834e-26,0.080555355
60,7.37145985763042e-26,0.0819207
61,2.2844197025841957e-25,0.083286045
62,6.948870530642059e-25,0.08465139
63,2.075412681868238e-24,0.086016735
64,6.088058986122228e-24,0.08738208
65,1.7545508469549452e-23,0.088747425
66,4.969251258981193e-23,0.09011277
67,1.383489420238633e-22,0.091478115
68,3.7873868711974154e-22,0.09284346
69,1.0197618313464629e-21,0.094208805
70,2.7012642748828408e-21,0.09557415
71,7.0413595933155e-21,0.096939495
72,1.806658731602752e-20,0.09830484
73,4.5638670765075154e-20,0.099670185
74,1.1353558404660632e-19,0.10103553
75,2.7821207141704483e-19,0.102400875
76,6.716852345209653e-19,0.10376622
77,1.598087559864168e-18,0.105131565
78,3.7478099633911855e-18,0.10649691
79,8.665476136698592e-18,0.107862255
80,1.9757832336996878e-17,0.1092276
81,4.4433533736910505e-17,0.110592945
82,9.858219961651496e-17,0.11195829
